,"Year Ended.Jan 28, 2024.(In millions)","Year Ended.Jan 29, 2023.(In millions)","Year Ended.Jan 30, 2022.(In millions)"
Balance at beginning of period,$ 82,$ 46,$ 22
Additions,278,145,40
Utilization,(54),(109),(16)
Balance at end of period,$ 306,$ 82,$ 46
