,"Year Ended.Jan 28, 2024.(In millions)","Year Ended.Jan 29, 2023.(In millions)","Year Ended.Jan 30, 2022.(In millions)"
U.S.,"$ 29,495","$ 3,477","$ 8,446"
Foreign,"4,323",704,"1,495"
Income before income tax,"$ 33,818","$ 4,181","$ 9,941"
