,"Year Ended.Jan 28, 2024.(In millions)","Year Ended.Jan 29, 2023.(In millions)","Year Ended.Jan 30, 2022.(In millions)"
Current income taxes:,,,
Federal,"$ 5,710","$ 1,703",$ 482
State,335,46,42
Foreign,502,228,71
Total current,"6,547","1,977",595
Deferred income taxes:,,,
Federal,"(2,499)","(2,165)",(420)
State,(206),-,-
Foreign,216,1,14
Total deferred,"(2,489)","(2,164)",(406)
Income tax expense (benefit),"$ 4,058",$ (187),$ 189
