,"Jan 28, 2024.Less than 12 Months.Estimated Fair Value.(In millions)","Jan 28, 2024.Less than 12 Months.Gross Unrealized Loss.(In millions)","Jan 28, 2024.12 Months or Greater.Estimated Fair Value.(In millions)","Jan 28, 2024.12 Months or Greater.Gross Unrealized Loss.(In millions)","Jan 28, 2024.Total.Estimated Fair Value.(In millions)","Jan 28, 2024.Total.Gross Unrealized Loss.(In millions)"
Debt securities issued by the U.S. Treasury,"$ 3,343",$ (5),"$ 1,078",$ (5),"$ 4,421",$ (10)
Corporate debt securities,"1,306",(3),618,(2),"1,924",(5)
Debt securities issued by U.S. government agencies,670,(1),-,-,670,(1)
Total,"$ 5,319",$ (9),"$ 1,696",$ (7),"$ 7,015",$ (16)
